title_keywords,abstract_keywords
以人为本设计，智能体与交互，自适应机制,智能建筑与运维；以人为本设计；多模态感知；自适应机制；模型优化；情感计算；室内环境质量；用户体验/UX
以人为本设计，城市规划与更新，具身智能与机器人技术,以人为本设计；城市规划与更新；具身智能与机器人技术；多模态感知；神经建筑学；可持续与环境评估
多模态感知，参数化与计算设计，以人为本设计,多模态感知；参数化与计算设计；以人为本设计；自适应机制；用户体验/UX
具身智能与机器人技术，智能体与交互，多模态感知,智能体与交互；具身智能与机器人技术；多模态感知；自然语言处理；自适应机制；以人为本设计；系统性能指标
智能体与交互，自然语言处理，模型优化,智能体与交互；自然语言处理；模型优化；以人为本设计；系统性能指标
具身智能与机器人技术，智能体与交互，数字建造与制造,具身智能与机器人技术；智能体与交互；多模态感知；数字建造与制造；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，以人为本设计,具身智能与机器人技术；智能体与交互；自适应机制；以人为本设计；系统性能指标
具身智能与机器人技术，强化学习，自适应机制,具身智能与机器人技术；多模态感知；强化学习；计算机视觉；自适应机制；系统性能指标
具身智能与机器人技术，建筑遗产保护，计算机视觉,具身智能与机器人技术；建筑遗产保护；计算机视觉；多模态感知；自主导航；三维重建；深度学习；系统性能指标
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；多模态感知；自然语言处理；强化学习；自适应机制；社会机器人；以人为本设计；系统性能指标
具身智能与机器人技术，城市规划与更新，智能体与交互,智慧城市；城市规划与更新；具身智能与机器人技术；智能体与交互；多模态感知；强化学习；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，多模态感知,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；Sim2Real；模型优化；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，自适应机制,具身智能与机器人技术；智能体与交互；自适应机制；强化学习；以人为本设计；系统性能指标
具身智能与机器人技术，数字建造与制造，智能体与交互,具身智能与机器人技术；智能体与交互；多模态感知；自适应机制；数字建造与制造；系统性能指标
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；智能体与交互；强化学习；自适应机制；模型优化；零样本泛化；系统性能指标
具身智能与机器人技术，以人为本设计，多模态感知,具身智能与机器人技术；以人为本设计；多模态感知；情境感知；自适应机制；智能体与交互
以人为本设计，城市规划与更新，参数化与计算设计,以人为本设计；参数化与计算设计；城市规划与更新；可持续与环境评估；系统性能指标
以人为本设计，神经建筑学，情感化,以人为本设计；神经建筑学；情感化；多模态感知；用户体验/UX
智能体与交互，参数化与计算设计，以人为本设计,智能体与交互；多模态感知；生成式工作流；参数化与计算设计；以人为本设计；系统性能指标
多模态感知，生成式工作流，以人为本设计,多模态感知；计算机视觉；穿戴式传感；生成式工作流；以人为本设计；用户体验/UX；情感计算；智能建筑与运维；适应性；响应性
智能体与交互，自适应机制，以人为本设计,智能体与交互；自适应机制；以人为本设计；模型优化；系统性能指标
具身智能与机器人技术，以人为本设计，参数化与计算设计,以人为本设计；具身智能与机器人技术；参数化与计算设计；智能体与交互；生成式工作流
多模态感知，自适应机制，以人为本设计,多模态感知；自适应机制；以人为本设计；情感计算；生理传感器/EEG/EMG；用户体验/UX；情境感知；模型优化；深度学习；实时性；准确率
具身智能与机器人技术，以人为本设计，参数化与计算设计,以人为本设计；智能体与交互；具身智能与机器人技术；参数化与计算设计；自适应机制；以人为本设计
智能体与交互，智能建筑与运维，以人为本设计,智能体与交互；以人为本设计；智能建筑与运维；多模态感知；自适应机制；可持续与环境评估；系统性能指标
智慧教育，多模态感知，以人为本设计,智慧教育；多模态感知；以人为本设计；数字孪生与BIM；生成式工作流；系统性能指标
以人为本设计，智能体与交互，多模态感知,以人为本设计；智能体与交互；多模态感知；自适应机制；情感计算；用户体验/UX；神经建筑学
城市规划与更新，以人为本设计，自适应机制,城市公共空间；城市规划与更新；以人为本设计；自适应机制；多模态感知；智能建筑与运维；可持续与环境评估；系统性能指标
具身智能与机器人技术，参数化与计算设计，以人为本设计,以人为本设计；具身智能与机器人技术；参数化与计算设计；生成式工作流；智能体与交互
具身智能与机器人技术，以人为本设计，多模态感知,以人为本设计；具身智能与机器人技术；多模态感知；生成式工作流；参数化与计算设计；自适应机制
具身智能与机器人技术，智能体与交互，以人为本设计,具身智能与机器人技术；多模态感知；智能体与交互；以人为本设计；自适应机制；系统性能指标
多模态感知，智能体与交互，数字孪生与BIM,多模态感知；智能体与交互；数字孪生与BIM；以人为本设计；系统性能指标；生成式工作流
具身智能与机器人技术，智能体与交互，自然语言处理,智能体与交互；具身智能与机器人技术；自然语言处理；强化学习；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，以人为本设计,以人为本设计；智能体与交互；自然语言处理；参数化与计算设计；生成式工作流
具身智能与机器人技术，智能体与交互，以人为本设计,具身智能与机器人技术；智能体与交互；以人为本设计；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，以人为本设计,具身智能与机器人技术；智能体与交互；以人为本设计；自适应机制；系统性能指标；智慧教育
以人为本设计，具身智能与机器人技术，参数化与计算设计,以人为本设计；具身智能与机器人技术；多模态感知；参数化与计算设计；自适应机制；可持续与环境评估
具身智能与机器人技术，智能体与交互，城市规划与更新,智慧城市；智能体与交互；多模态感知；自适应机制；以人为本设计；城市规划与更新
具身智能与机器人技术，智能体与交互，多模态感知,智能体与交互；具身智能与机器人技术；多模态感知；自适应机制；以人为本设计；系统性能指标
智慧教育，具身智能与机器人技术，以人为本设计,智慧教育；具身智能与机器人技术；以人为本设计；参数化与计算设计；自适应机制；系统性能指标
具身智能与机器人技术，以人为本设计，智能建筑与运维,具身智能与机器人技术；以人为本设计；多模态感知；智能建筑与运维；自适应机制
具身智能与机器人技术，以人为本设计，智能体与交互,具身智能与机器人技术；以人为本设计；智能体与交互；自适应机制；伦理嵌入；用户体验/UX；情感计算；系统性能指标
智能建筑与运维，智能体与交互，以人为本设计,智能建筑与运维；智能体与交互；以人为本设计；多模态感知；自适应机制；可持续与环境评估；系统性能指标
智能体与交互，以人为本设计，具身智能与机器人技术,智能体与交互；以人为本设计；具身智能与机器人技术；多模态感知；生成式工作流；自适应机制
智能建筑与运维，城市规划与更新，模型优化,智能建筑与运维；城市规划与更新；模型优化；多模态感知；系统性能指标；以人为本设计
计算机视觉，模型优化，系统性能指标,目标检测；计算机视觉；多尺度特征融合；模型优化；注意力机制；轻量化模型；边缘计算；实时性；鲁棒性；准确率
智能建筑与运维，智能体与交互，自适应机制,智能建筑与运维；智能体与交互；边缘计算；自适应机制；以人为本设计；系统性能指标；可持续与环境评估
数字孪生与BIM，智慧养老，以人为本设计,智慧养老；智能建筑与运维；多模态感知；数字孪生与BIM；自适应机制；以人为本设计；系统性能指标
数字孪生与BIM，智慧养老，自适应机制,智慧养老；数字孪生与BIM；多模态感知；自适应机制；以人为本设计；系统性能指标
智慧教育，智能体与交互，数字孪生与BIM,智慧教育；智能体与交互；多模态感知；自适应机制；系统性能指标；以人为本设计
具身智能与机器人技术，智能体与交互，智能建筑与运维,具身智能与机器人技术；智能体与交互；多模态感知；自适应机制；系统性能指标；智能建筑与运维
智能体与交互，具身智能与机器人技术，数字建造与制造,具身智能与机器人技术；智能体与交互；自然语言处理；生成式工作流；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，计算机视觉,具身智能与机器人技术；智能体与交互；计算机视觉；自然语言处理；强化学习；多模态感知；自适应机制；模型优化；以人为本设计；系统性能指标
具身智能与机器人技术，智能体与交互，模型优化,具身智能与机器人技术；多模态感知；强化学习；自适应机制；模型优化；系统性能指标；社会机器人；智能建筑与运维；数字建造与制造；智能体与交互
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；自适应机制；系统性能指标
生成式工作流，城市规划与更新，智能建筑与运维,生成式工作流；强化学习；数字孪生与BIM；智能建筑与运维；数字建造与制造；城市规划与更新；以人为本设计；可持续与环境评估
具身智能与机器人技术，数字建造与制造，智能体与交互,具身智能与机器人技术；计算机视觉；强化学习；数字建造与制造；多目标跟踪；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，多模态感知,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；计算机视觉；系统性能指标
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；多模态感知；强化学习；自适应机制；社会机器人；以人为本设计；系统性能指标
智慧教育，智能体与交互，自适应机制,智慧教育；多模态感知；智能体与交互；强化学习；自适应机制；系统性能指标
具身智能与机器人技术，数字孪生与BIM，智能建筑与运维,具身智能与机器人技术；数字孪生与BIM；智能建筑与运维；自适应机制；模型优化；系统性能指标
智能建筑与运维，智能体与交互，系统性能指标,智能建筑与运维；智慧城市；多源信息融合；人工智能；评估指标体系；模型优化；系统性能指标；可持续与环境评估；城市规划与更新
智慧教育，智能建筑与运维，自适应机制,智慧教育；智能建筑与运维；自适应机制；多模态感知；模型优化；以人为本设计；可持续与环境评估；系统性能指标
智慧养老，数字孪生与BIM，以人为本设计,智慧养老；多模态感知；数字孪生与BIM；自适应机制；以人为本设计；智能建筑与运维
智慧养老，数字孪生与BIM，以人为本设计,智慧养老；多模态感知；数字孪生与BIM；模型优化；以人为本设计；系统性能指标
数字孪生与BIM，智慧养老，智能体与交互,智慧养老；数字孪生与BIM；多模态感知；智能体与交互；自适应机制；以人为本设计；系统性能指标
具身智能与机器人技术，智能体与交互，智能建筑与运维,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；世界模型；自适应机制；智能建筑与运维；以人为本设计；系统性能指标
具身智能与机器人技术，智能体与交互，计算机视觉,具身智能与机器人技术；智能体与交互；计算机视觉；自然语言处理；自适应机制；系统性能指标
数字孪生与BIM，智能体与交互，自适应机制,数字孪生与BIM；智能体与交互；多模态感知；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，强化学习,智能体与交互；具身智能与机器人技术；多模态感知；强化学习；自适应机制；系统性能指标
智能建筑与运维，城市规划与更新，生成式工作流,智能建筑与运维；城市规划与更新；生成式工作流；数字建造与制造；可持续与环境评估；数字孪生与BIM；参数化与计算设计；以人为本设计
具身智能与机器人技术，智能体与交互，生成式工作流,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；自适应机制；模型优化；以人为本设计
具身智能与机器人技术，数字孪生与BIM，智能建筑与运维,数字孪生与BIM；智能体与交互；具身智能与机器人技术；智能建筑与运维；自适应机制；系统性能指标
智慧教育，智能体与交互，强化学习,智慧教育；智能体与交互；强化学习；自适应机制；系统性能指标；可持续与环境评估
数字建造与制造，智能体与交互，具身智能与机器人技术,数字建造与制造；智能体与交互；具身智能与机器人技术；系统性能指标；可持续与环境评估
智慧教育，智能体与交互，数字孪生与BIM,智慧教育；智能体与交互；数字孪生与BIM；多模态感知；自适应机制；以人为本设计
具身智能与机器人技术，智能体与交互，数字建造与制造,数字建造与制造；多模态感知；自适应机制；强化学习；系统性能指标；以人为本设计
具身智能与机器人技术，多模态感知，智能体与交互,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；自适应机制；以人为本设计
智慧教育，智能体与交互，以人为本设计,智慧教育；智能体与交互；数字孪生与BIM；以人为本设计；可持续与环境评估；系统性能指标
数字建造与制造，智能体与交互，强化学习,数字建造与制造；数字孪生与BIM；智能体与交互；多模态感知；强化学习；自适应机制；系统性能指标
智慧教育，数字建造与制造，智能体与交互,智慧教育；数字建造与制造；智能体与交互；参数化与计算设计；以人为本设计；系统性能指标
具身智能与机器人技术，智能体与交互，多模态感知,具身智能与机器人技术；多模态感知；自然语言处理；计算机视觉；强化学习；自适应机制；系统性能指标
智慧教育，智能体与交互，以人为本设计,智慧教育；智能体与交互；以人为本设计；系统性能指标
社会机器人，以人为本设计，智能体与交互,智慧养老；社会机器人；以人为本设计；智能体与交互；多模态感知；自适应机制；用户体验/UX；系统性能指标
具身智能与机器人技术，智能体与交互，跨模态生成,具身智能与机器人技术；智能体与交互；计算机视觉；自然语言处理；强化学习；多模态感知；自适应机制；模型优化
具身智能与机器人技术，智能体与交互，视觉-语言-动作模型,具身智能与机器人技术；智能体与交互；视觉-语言-动作模型；多模态感知；强化学习；自适应机制；模型优化；系统性能指标
智慧教育，智能体与交互，以人为本设计,智慧教育；智能体与交互；以人为本设计；多模态感知；系统性能指标
社会机器人，智慧养老，以人为本设计,社会机器人；智慧养老；以人为本设计；智能体与交互；系统性能指标
具身智能与机器人技术，智能体与交互，多模态感知,具身智能与机器人技术；多模态感知；模型优化；自适应机制；系统性能指标
社会机器人，智慧养老，以人为本设计,社会机器人；智慧养老；以人为本设计；多模态感知；系统性能指标；伦理嵌入；人机协同/HRI
数字建造与制造，智慧教育，智能体与交互,智慧教育；数字建造与制造；智能体与交互；参数化与计算设计；以人为本设计；系统性能指标
智慧教育，智能体与交互，数字孪生与BIM,智慧教育；智能体与交互；数字孪生与BIM；以人为本设计；系统性能指标
智慧教育，智能体与交互，自适应机制,智慧教育；多模态感知；智能体与交互；自适应机制；以人为本设计；可持续与环境评估；系统性能指标
智慧教育，多模态感知，智能体与交互,智慧教育；多模态感知；自然语言处理；计算机视觉；强化学习；以人为本设计；系统性能指标
具身智能与机器人技术，多模态感知，强化学习,具身智能与机器人技术；多模态感知；强化学习；模仿学习；智能体与交互；自适应机制；社会机器人；系统性能指标
智慧教育，数字孪生与BIM，以人为本设计,智慧教育；以人为本设计；可持续与环境评估；智能体与交互；数字孪生与BIM；自适应机制；系统性能指标
以人为本设计，数字孪生与BIM，多模态感知,智慧养老；智能建筑与运维；数字孪生与BIM；多模态感知；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，可持续与环境评估，以人为本设计,智能建筑与运维；可持续与环境评估；以人为本设计；系统性能指标
智能体与交互，强化学习，智能建筑与运维,智能体与交互；强化学习；智能建筑与运维；暖通空调/HVAC；能耗优化；自适应机制；模型优化；以人为本设计；可持续与环境评估；系统性能指标
智慧教育，智能体与交互，可持续与环境评估,智慧教育；智能体与交互；数字孪生与BIM；以人为本设计；可持续与环境评估；系统性能指标
智能建筑与运维，可持续与环境评估，城市规划与更新,智能建筑与运维；可持续与环境评估；系统性能指标；以人为本设计；模型优化
智能体与交互，数字孪生与BIM，自然语言处理,智能体与交互；数字孪生与BIM；自然语言处理；生成式工作流；系统性能指标
强化学习，自适应机制，智能建筑与运维,强化学习；自适应机制；智能体与交互；系统性能指标
智能体与交互，多模态感知，数字建造与制造,智能体与交互；多模态感知；模型优化；以人为本设计；系统性能指标
智能建筑与运维，模型优化，可持续与环境评估,智能建筑与运维；强化学习；模型优化；参数化与计算设计；可持续与环境评估；以人为本设计
参数化与计算设计，生成式工作流，智能体与交互,参数化与计算设计；生成式工作流；智能体与交互；计算机视觉；模型优化；以人为本设计
生成式工作流，参数化与计算设计，智能体与交互,生成式工作流；参数化与计算设计；智能体与交互；多模态感知；以人为本设计；系统性能指标
生成式工作流，参数化与计算设计，智能体与交互,生成式工作流；智能体与交互；模型优化；以人为本设计；系统性能指标
生成式工作流，计算机视觉，智能体与交互,生成式工作流；智能体与交互；以人为本设计；模型优化；参数化与计算设计；系统性能指标
计算机视觉，生成式工作流，多模态感知,生成式工作流；计算机视觉；多模态感知；参数化与计算设计；系统性能指标
智能体与交互，生成式工作流，以人为本设计,智能体与交互；生成式工作流；多模态感知；自适应机制；以人为本设计；系统性能指标
生成式工作流，参数化与计算设计，智能体与交互,生成式工作流；智能体与交互；参数化与计算设计；多目标优化；数字孪生与BIM；以人为本设计；系统性能指标
智能体与交互，参数化与计算设计，生成式工作流,智能体与交互；生成式工作流；参数化与计算设计；以人为本设计；系统性能指标
参数化与计算设计，城市规划与更新，智能体与交互,参数化与计算设计；智能体与交互；生成式工作流；自适应机制；城市规划与更新；以人为本设计；系统性能指标
生成式工作流，智能体与交互，参数化与计算设计,生成式工作流；参数化与计算设计；强化学习；多目标优化；智能体与交互；模型优化；以人为本设计；系统性能指标
生成式工作流，智能体与交互，以人为本设计,生成式工作流；智能体与交互；多模态感知；以人为本设计；参数化与计算设计；自适应机制；模型优化
城市规划与更新，生成式工作流，参数化与计算设计,生成式工作流；多目标优化；参数化与计算设计；城市规划与更新；以人为本设计；系统性能指标
生成式工作流，参数化与计算设计，自适应机制,生成式工作流；参数化与计算设计；自适应机制；多目标优化；以人为本设计；可持续与环境评估
智能体与交互，多模态感知，参数化与计算设计,智能体与交互；多模态感知；参数化与计算设计；自适应机制；以人为本设计；系统性能指标
生成式工作流，智能体与交互，数字孪生与BIM,生成式工作流；智能体与交互；参数化与计算设计；可持续与环境评估；数字孪生与BIM；以人为本设计；系统性能指标
智能建筑与运维，可持续与环境评估，数字孪生与BIM,智慧校园；智能建筑与运维；可持续与环境评估；数字孪生与BIM；模型优化；系统性能指标
数字孪生与BIM，数字建造与制造，智能建筑与运维,数字孪生与BIM；数字建造与制造；物联网；云计算；多模态感知；异构数据融合；模型优化；系统性能指标；实时性；可追溯性；预测性维护
数字孪生与BIM，计算机视觉，智能建筑与运维,数字孪生与BIM；计算机视觉；智能建筑与运维；系统性能指标；模型优化
强化学习，智能建筑与运维，模型优化,强化学习；模型优化；智能建筑与运维；系统性能指标
数字孪生与BIM，多模态感知，智慧教育,智慧教育；数字孪生与BIM；多模态感知；计算机视觉；物联网；可视化仿真；态势感知；智能预警；系统性能指标
生成式工作流，可持续与环境评估，智能体与交互,生成式工作流；自然语言处理；多目标优化；可持续与环境评估；智能体与交互；以人为本设计
智能建筑与运维，自适应机制，模型优化,智能建筑与运维；自适应机制；模型优化；以人为本设计；可持续与环境评估；系统性能指标
数字孪生与BIM，智能建筑与运维，模型优化,智慧养老；智能建筑与运维；数字孪生与BIM；多模态感知；模型优化；预测性维护；系统性能指标
数字孪生与BIM，自然语言处理，智能体与交互,数字孪生与BIM；自然语言处理；智能体与交互；生成式工作流；系统性能指标
生成式工作流，计算机视觉，参数化与计算设计,生成式工作流；计算机视觉；参数化与计算设计；以人为本设计；系统性能指标
具身智能与机器人技术，数字建造与制造，智能体与交互,具身智能与机器人技术；智能体与交互；数字孪生与BIM；多模态感知；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，数字建造与制造,数字孪生与BIM；强化学习；模仿学习；多智能体；智能体与交互；数字建造与制造；自适应机制；系统性能指标
具身智能与机器人技术，数字建造与制造，建筑遗产保护,具身智能与机器人技术；智能体与交互；生成式工作流；自适应机制；建筑遗产保护；以人为本设计
具身智能与机器人技术，智能体与交互，自然语言处理,具身智能与机器人技术；智能体与交互；自然语言处理；多模态感知；自适应机制；社会机器人
智慧养老，以人为本设计，智能体与交互,智慧养老；以人为本设计；情境感知；用户体验/UX；智能体与交互；社会机器人；自适应机制
计算机视觉，生成式工作流，参数化与计算设计,生成式工作流；计算机视觉；数字孪生与BIM；模型优化；系统性能指标
智慧养老，智能体与交互，以人为本设计,智慧养老；智能体与交互；以人为本设计；多模态感知；系统性能指标
智慧教育，智能体与交互，系统性能指标,智慧教育；智能体与交互；数字孪生与BIM；多模态感知；以人为本设计；系统性能指标
智慧教育，智能建筑与运维，以人为本设计,智慧教育；智能建筑与运维；以人为本设计；数字孪生与BIM；系统性能指标；可持续与环境评估
